trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
766,False,"{'a': 0.5, 'e': 0.8276240612364594}",20,5,-149.54925031610026,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 3}",1
767,False,"{'a': 0.5, 'e': 0.8271865708393993}",25,0,-104.53263144449397,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
768,False,"{'a': 0.5, 'e': 0.8267485784716387}",25,0,-129.70978403372345,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
769,False,"{'a': 0.5, 'e': 0.8263100843989694}",20,0,-71.44811087025361,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
770,False,"{'a': 0.5, 'e': 0.8258710888874875}",20,0,-95.30443312122938,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
771,False,"{'a': 0.5, 'e': 0.8254315922035935}",30,0,-136.9229230483348,"{0: 22, 1: 2, 2: 1, 3: 3, 4: 2}",0
772,False,"{'a': 0.5, 'e': 0.8249915946139921}",30,0,-179.36980958573,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
773,False,"{'a': 0.5, 'e': 0.8245510963856916}",25,0,-64.91167937742559,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
774,False,"{'a': 0.5, 'e': 0.8241100977860045}",25,0,-122.27287788555506,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
775,False,"{'a': 0.5, 'e': 0.823668599082547}",25,0,-197.5125327226671,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 5}",0
776,False,"{'a': 0.5, 'e': 0.8232266005432383}",25,0,-73.21913017161478,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
777,False,"{'a': 0.5, 'e': 0.8227841024363014}",25,0,-120.9164208525478,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
778,False,"{'a': 0.5, 'e': 0.8223411050302623}",20,0,-185.45237384380897,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
779,False,"{'a': 0.5, 'e': 0.8218976085939498}",25,0,-111.7939347910905,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
780,False,"{'a': 0.5, 'e': 0.8214536133964959}",25,0,-57.46767965269409,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
781,False,"{'a': 0.5, 'e': 0.821009119707335}",20,5,18.540146084072877,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
782,False,"{'a': 0.5, 'e': 0.820564127796204}",25,0,-60.09084381406561,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
783,False,"{'a': 0.5, 'e': 0.8201186379331424}",20,0,-162.3693194922877,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 3}",0
784,False,"{'a': 0.5, 'e': 0.8196726503884917}",25,0,-156.04445915473337,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
785,False,"{'a': 0.5, 'e': 0.8192261654328952}",25,0,-80.90656699301228,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
786,False,"{'a': 0.5, 'e': 0.8187791833372984}",20,0,-69.48002972949791,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
787,False,"{'a': 0.5, 'e': 0.8183317043729483}",20,0,-28.233452930193458,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
788,False,"{'a': 0.5, 'e': 0.8178837288113936}",20,0,-128.66837631730175,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
789,False,"{'a': 0.5, 'e': 0.8174352569244839}",20,0,-98.68661403192418,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
790,False,"{'a': 0.5, 'e': 0.8169862889843708}",20,0,-122.94667645974921,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
791,False,"{'a': 0.5, 'e': 0.816536825263506}",20,0,-120.49395357862326,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
792,False,"{'a': 0.5, 'e': 0.8160868660346428}",30,0,-128.9497709169659,"{0: 20, 1: 1, 2: 5, 3: 3, 4: 1}",0
793,False,"{'a': 0.5, 'e': 0.8156364115708347}",30,9,-62.515936717649495,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 1}",1
794,False,"{'a': 0.5, 'e': 0.8151854621454361}",20,0,-81.07275415287137,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
795,False,"{'a': 0.5, 'e': 0.8147340180321013}",20,0,-112.90748417603832,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
796,False,"{'a': 0.5, 'e': 0.8142820795047854}",25,0,-62.63935833690551,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
797,False,"{'a': 0.5, 'e': 0.8138296468377431}",20,0,-118.27375668868355,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
798,False,"{'a': 0.5, 'e': 0.8133767203055289}",30,0,-143.1838474553423,"{0: 19, 1: 4, 2: 2, 3: 4, 4: 1}",0
799,False,"{'a': 0.5, 'e': 0.8129233001829975}",20,0,-123.09653472318162,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
800,False,"{'a': 0.5, 'e': 0.8124693867453026}",20,0,-119.26174498325366,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
801,False,"{'a': 0.5, 'e': 0.8120149802678974}",25,0,-79.87452471293713,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
802,False,"{'a': 0.5, 'e': 0.8115600810265345}",30,3,-46.07843106710098,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 0}",1
803,False,"{'a': 0.5, 'e': 0.8111046892972655}",20,0,-50.6447182093272,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
804,False,"{'a': 0.5, 'e': 0.8106488053564406}",25,0,-111.85830667180336,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
805,False,"{'a': 0.5, 'e': 0.8101924294807088}",20,0,-82.96225468955106,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
806,False,"{'a': 0.5, 'e': 0.8097355619470179}",25,0,-116.99317198386665,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
807,False,"{'a': 0.5, 'e': 0.8092782030326137}",20,0,-119.49377180177234,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
808,False,"{'a': 0.5, 'e': 0.8088203530150401}",20,5,-99.89297293409722,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 2}",1
809,False,"{'a': 0.5, 'e': 0.8083620121721397}",20,2,-79.82460139067364,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
810,False,"{'a': 0.5, 'e': 0.8079031807820521}",30,0,-103.33226628135463,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
811,False,"{'a': 0.5, 'e': 0.8074438591232154}",30,0,-175.60216371869328,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
